mag_comsol_leg_4cm (Z3_leg_4cm=6000) X,mag_comsol_leg_4cm (Z3_leg_4cm=6000) Y
1,26.42479599220463
1.99526231496888,26.98661775415685
3.981071705534973,26.67717122644916
7.943282347242817,26.07721955786825
15.84893192461114,25.55988562815673
31.62277660168381,23.90984675607938
63.09573444801936,20.91371137270556
125.8925411794168,18.44656002260279
251.1886431509582,17.24716474661999
501.1872336272726,16.53792939999957
1000.000000000001,15.95967910790988
1995.262314968881,15.52366810919247
3981.071705534976,15.18645693076064
7943.282347242824,14.86425860348803
15848.93192461115,14.52109261949747
31622.77660168383,14.04153830004271
63095.73444801941,13.1400899408824
125892.5411794169,11.49893712494774
251188.6431509584,9.189023293150598
501187.2336272731,6.899090731444084
1000000,5.2242901221547
